"module name","license","repository"
"@angular-devkit/architect@0.13.3","MIT","https://github.com/angular/angular-cli"
"@angular-devkit/architect@0.13.5","MIT","https://github.com/angular/angular-cli"
"@angular-devkit/build-angular@0.13.5","MIT","https://github.com/angular/angular-cli"
"@angular-devkit/build-ng-packagr@0.13.3","MIT","https://github.com/angular/angular-cli"
"@angular-devkit/build-optimizer@0.13.5","MIT","https://github.com/angular/angular-cli"
"@angular-devkit/build-webpack@0.13.5","MIT","https://github.com/angular/angular-cli"
"@angular-devkit/core@7.3.3","MIT","https://github.com/angular/angular-cli"
"@angular-devkit/core@7.3.5","MIT","https://github.com/angular/angular-cli"
"@angular-devkit/schematics@7.3.3","MIT","https://github.com/angular/angular-cli"
"@angular/animations@7.2.7","MIT","https://github.com/angular/angular"
"@angular/cdk@7.3.3","MIT","https://github.com/angular/material2"
"@angular/cli@7.3.3","MIT","https://github.com/angular/angular-cli"
"@angular/common@7.2.7","MIT","https://github.com/angular/angular"
"@angular/compiler-cli@7.2.7","MIT","https://github.com/angular/angular"
"@angular/compiler@7.2.7","MIT","https://github.com/angular/angular"
"@angular/core@7.2.7","MIT","https://github.com/angular/angular"
"@angular/forms@7.2.7","MIT","https://github.com/angular/angular"
"@angular/http@7.2.7","MIT","https://github.com/angular/angular"
"@angular/language-service@7.2.7","MIT","https://github.com/angular/angular"
"@angular/material@7.3.3","MIT","https://github.com/angular/material2"
"@angular/platform-browser-dynamic@7.2.7","MIT","https://github.com/angular/angular"
"@angular/platform-browser@7.2.7","MIT","https://github.com/angular/angular"
"@angular/platform-server@7.2.7","MIT","https://github.com/angular/angular"
"@angular/router@7.2.7","MIT","https://github.com/angular/angular"
"@babel/runtime@7.3.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-runtime"
"@compodoc/compodoc@1.1.9","MIT","https://github.com/compodoc/compodoc"
"@compodoc/ngd-core@2.0.0","MIT","https://github.com/compodoc/ngd"
"@compodoc/ngd-transformer@2.0.0","MIT","https://github.com/compodoc/ngd"
"@dsherret/to-absolute-glob@2.0.2","MIT","https://github.com/jonschlinkert/to-absolute-glob"
"@mrmlnc/readdir-enhanced@2.2.1","MIT","https://github.com/bigstickcarpet/readdir-enhanced"
"@ng-bootstrap/ng-bootstrap@4.0.4","MIT","https://github.com/ng-bootstrap/ng-bootstrap"
"@ngtools/json-schema@1.1.0","MIT","https://github.com/angular/angular-cli"
"@ngtools/webpack@7.3.5","MIT","https://github.com/angular/angular-cli"
"@nodelib/fs.stat@1.1.3","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.stat"
"@schematics/angular@7.3.3","MIT","https://github.com/angular/angular-cli"
"@schematics/update@0.13.3","MIT","https://github.com/angular/angular-cli"
"@types/datatables.net@1.10.17","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/estree@0.0.39","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/jasmine@3.3.9","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/jasminewd2@2.0.6","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/jquery@3.3.29","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/node@11.9.5","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/q@0.0.32","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/selenium-webdriver@3.0.15","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/sizzle@2.3.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/source-list-map@0.1.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/strip-bom@3.0.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/strip-json-comments@0.0.30","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/webpack-sources@0.1.5","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/zen-observable@0.8.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@webassemblyjs/ast@1.7.11","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/floating-point-hex-parser@1.7.11","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/helper-api-error@1.7.11","MIT",""
"@webassemblyjs/helper-buffer@1.7.11","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/helper-code-frame@1.7.11","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/helper-fsm@1.7.11","ISC",""
"@webassemblyjs/helper-module-context@1.7.11","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/helper-wasm-bytecode@1.7.11","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/helper-wasm-section@1.7.11","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/ieee754@1.7.11","MIT",""
"@webassemblyjs/leb128@1.7.11","MIT",""
"@webassemblyjs/utf8@1.7.11","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/wasm-edit@1.7.11","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/wasm-gen@1.7.11","MIT","https://github.com/xtuc/webassemblyjs"
